fish,prefecture,num_stock,multi_stock_dum,stock,condition
atka_mackerel,兵庫,3,1,hokkaido_north,low
atka_mackerel,宮城,3,1,hokkaido_north,low
atka_mackerel,千葉,3,1,hokkaido_north,low
atka_mackerel,山口,3,1,hokkaido_north,low
atka_mackerel,福井,3,1,hokkaido_north,low
atka_mackerel,福岡,3,1,hokkaido_north,low
atka_mackerel,新潟,3,1,hokkaido_north,low
atka_mackerel,秋田,3,1,hokkaido_north,low
atka_mackerel,山形,3,1,hokkaido_north,low
atka_mackerel,愛媛,3,1,hokkaido_north,low
atka_mackerel,福島,3,1,hokkaido_north,low
atka_mackerel,岩手,3,1,hokkaido_north,low
atka_mackerel,神奈川,3,1,hokkaido_north,low
atka_mackerel,島根,3,1,hokkaido_north,low
atka_mackerel,茨城,3,1,hokkaido_north,low
atka_mackerel,鳥取,3,1,hokkaido_north,low
atka_mackerel,富山,3,1,hokkaido_north,low
atka_mackerel,石川,3,1,hokkaido_north,low
atka_mackerel,東京,3,1,hokkaido_north,low
atka_mackerel,北海道,3,1,hokkaido_north,low
atka_mackerel,青森,3,1,hokkaido_north,low
atka_mackerel,京都,3,1,hokkaido_north,low
bastard_halibut,愛知,4,1,pacific_central_stock,medium
bastard_halibut,静岡,4,1,pacific_central_stock,medium
bastard_halibut,神奈川,4,1,pacific_central_stock,medium
bastard_halibut,東京,4,1,pacific_central_stock,medium
bastard_halibut,千葉,4,1,pacific_central_stock,medium
bastard_halibut,三重,4,1,pacific_central_stock,medium
bastard_halibut,宮城,4,1,pacific_north_stock,high
bastard_halibut,福島,4,1,pacific_north_stock,high
bastard_halibut,茨城,4,1,pacific_north_stock,high
bastard_halibut,北海道,4,1,pacific_north_stock,high
bastard_halibut,岩手,4,1,pacific_north_stock,high
bastard_halibut,福井,4,1,sea_of_japan_north_central_stock,low
bastard_halibut,石川,4,1,sea_of_japan_north_central_stock,low
bastard_halibut,富山,4,1,sea_of_japan_north_central_stock,low
bastard_halibut,新潟,4,1,sea_of_japan_north_central_stock,low
bastard_halibut,青森,4,1,sea_of_japan_north_central_stock,low
bastard_halibut,秋田,4,1,sea_of_japan_north_central_stock,low
bastard_halibut,山形,4,1,sea_of_japan_north_central_stock,low
bastard_halibut,京都,4,1,sea_of_japan_north_central_stock,low
bastard_halibut,佐賀,4,1,sea_of_japan_west_east_china_sea_stock,medium
bastard_halibut,鹿児島,4,1,sea_of_japan_west_east_china_sea_stock,medium
bastard_halibut,宮崎,4,1,sea_of_japan_west_east_china_sea_stock,medium
bastard_halibut,熊本,4,1,sea_of_japan_west_east_china_sea_stock,medium
bastard_halibut,福岡,4,1,sea_of_japan_west_east_china_sea_stock,medium
bastard_halibut,長崎,4,1,sea_of_japan_west_east_china_sea_stock,medium
bastard_halibut,島根,4,1,sea_of_japan_west_east_china_sea_stock,medium
bastard_halibut,鳥取,4,1,sea_of_japan_west_east_china_sea_stock,medium
bastard_halibut,沖縄,4,1,sea_of_japan_west_east_china_sea_stock,medium
bastard_halibut,高知,4,1,seto_inland_sea_stock,high
bastard_halibut,和歌山,4,1,seto_inland_sea_stock,high
bastard_halibut,広島,4,1,seto_inland_sea_stock,high
bastard_halibut,愛媛,4,1,seto_inland_sea_stock,high
bastard_halibut,大阪,4,1,seto_inland_sea_stock,high
bastard_halibut,大分,4,1,seto_inland_sea_stock,high
bastard_halibut,兵庫,4,1,seto_inland_sea_stock,high
bastard_halibut,徳島,4,1,seto_inland_sea_stock,high
bastard_halibut,岡山,4,1,seto_inland_sea_stock,high
bastard_halibut,山口,4,1,seto_inland_sea_stock,high
bastard_halibut,香川,4,1,seto_inland_sea_stock,high
broadbanded_thornyhead,京都,3,1,hokkaido_east_hokkaido_south,low
broadbanded_thornyhead,北海道,3,1,hokkaido_east_hokkaido_south,low
broadbanded_thornyhead,山形,3,1,hokkaido_east_hokkaido_south,low
