Japanese,EngName,fish,stock_num
あわび類,abalone,abalone,0
びんなが,albacore_tuna,albacore_tuna,0
むろあじ類,amberstripe_scad,amberstripe_scad,0
ほっけ,atka_mackerel,atka_mackerel,1
そうだがつお類,auxis,auxis,0
ひらめ,bastard_halibut,bastard_halibut,1
めばち,bigeye_tuna,bigeye_tuna,0
くろだい・へだい,blackhead_seabream_and_goldlined_seabream,blackhead_seabream_and_goldlined_seabream,0
くろかじき類（くろかわ類）,blue_marlin,blue_marlin,0
くろまぐろ,bluefin_tuna,bluefin_tuna,0
きちじ,broadbanded_thornyhead,broadbanded_thornyhead,1
まだら,cod,cod,1
あなご類,conger_eel,conger_eel,0
ちだい,crimson_seabream,crimson_seabream,0
ちだい・きだい,crimson_seabream_and_yellowback_seabream,crimson_seabream_and_yellowback_seabream,0
はも,daggertooth_pike_conger,daggertooth_pike_conger,0
しいら類,dolphinfish,dolphinfish,0
ぼら類,flathead_mullet,flathead_mullet,0
とびうお類,flyingfish,flyingfish,0
ふのり類,funori_seaweed,funori_seaweed,0
こういか類,golden_cuttlefish,golden_cuttlefish,0
さるぼう（もがい）,half.crenate_ark_shell,half.crenate_ark_shell,0
にしん,herring,herring,0
ひじき,hijiki_seaweed,hijiki_seaweed,0
かたくちいわし,japanese_anchovy,japanese_anchovy,1
するめいか,japanese_common_squid,japanese_common_squid,1
はまぐり類,japanese_hard_clam,japanese_hard_clam,0
まあじ,japanese_jack_mackerel,japanese_jack_mackerel,1
まいわし,japanese_sardine,japanese_sardine,1
すずき類,japanese_seabass,japanese_seabass,0
まだい,japanese_seabream,japanese_seabream,1
くるまえび,japanese_shrimp,japanese_shrimp,0
さわら類,japanese_spanish_mackerel,japanese_spanish_mackerel,1
こんぶ類,kelp,kelp,0
たらばがに,king_crab,king_crab,0
おきあみ類,krill,krill,0
たちうお,largehead_hairtail,largehead_hairtail,0
えそ類,lizardfish,lizardfish,0
さば類,mackerel,mackerel,1
あさり類,manila_clam,manila_clam,0
海産ほ乳類,marine_mammals,marine_mammals,0
まかじき,marlin,marlin,0
あかいか,neon_flying_squid,neon_flying_squid,0
たこ類,octopus,octopus,0
その他のかに類,other_crab,other_crab,0
その他のにべ・ぐち類,other_croaker,other_croaker,0
その他の魚類,other_fish,other_fish,0
その他の水産動物類,other_fish.1,other_fish.1,0
その他のかじき類,other_kajiki,other_kajiki,0
その他の海藻類,other_seaweed,other_seaweed,0
その他の貝類,other_shellfish,other_shellfish,0
その他のえび類,other_shrimp,other_shrimp,0
その他のいか,other_squid,other_squid,0
その他のまぐろ類,other_tuna,other_tuna,0
すけとうだら,pollock,pollock,1
ふぐ類,pufferfish,pufferfish,1
えい類,rays,rays,0
めぬけ類,red_rock_fish,red_rock_fish,0
べにずわいがに,red_snow_crab,red_snow_crab,0
かながしら類,redwing_searobin,redwing_searobin,0
かれい類,righteye_flounder,righteye_flounder,1
うるめいわし,round_herring,round_herring,1
いぼだい,rudderfish,rudderfish,0
さけ類,salmon,salmon,0
いかなご類,sand_lance,sand_lance,1
はたはた,sandfish,sandfish,1
さんま,saury,saury,0
ほたてがい,scallop,scallop,0
なまこ類,sea_cucumber,sea_cucumber,0
うに類,sea_urchin,sea_urchin,0
このしろ,shad,shad,0
さめ類,shark,shark,0
かつお,skipjack,skipjack,0
にぎす類,smelt,smelt,1
ずわいがに,snow_crab,snow_crab,1
みなみまぐろ,southern_bluefin_tuna,southern_bluefin_tuna,0
いせえび,spiny_lobster,spiny_lobster,0
ほうぼう類,spiny_red_gurnard,spiny_red_gurnard,0
さざえ,spiny_top_shell,spiny_top_shell,0
うばがい（ほっき）,surf_clam,surf_clam,0
がざみ類,swimming_crab,swimming_crab,0
めかじき,swordfish,swordfish,0
てんぐさ類,tengusa_seaweed,tengusa_seaweed,0
いさき,threeline_grunt,threeline_grunt,0
あまだい類,tilefish,tilefish,0
ます類,trout,trout,0
わかめ類,wakame_seaweed,wakame_seaweed,0
しらす,whitebait,whitebait,0
きぐち,yellow_croaker,yellow_croaker,0
きだい,yellowback_seabream,yellowback_seabream,0
きはだ,yellowfin_tuna,yellowfin_tuna,0
ぶり類,yellowtail,yellowtail,0
